,ID,onset_time,offset_time,spelled_pitch,onset_velocity,offset_velocity,channel,match_status,score_time,score_dur,voice,note_ID,error_index,skip_index,measure,score_offset,dynamics_marking,articulation_marking,ibi,tempo
0,0,0.304688,1.084635,Bb4,48,80,0,0,0.0,2.0,0,P1-1-1,0,0,1,2.0,p,,,
1,1,0.31901,1.08724,Bb3,31,80,0,0,0.0,2.0,1,P1-1-3,0,-,1,2.0,,,,
2,2,1.026042,1.330729,F4,33,80,0,0,2.0,1.0,0,P1-1-2,0,-,1,3.0,,,0.353516,169.723577
3,3,1.03125,1.339844,F3,30,80,0,0,2.0,1.0,1,P1-1-4,0,-,1,3.0,,,,
4,4,1.442708,2.059896,D4,43,80,0,0,3.0,2.0,0,P1-2-1,0,-,2,5.0,,,0.411458,145.822903
5,5,1.453125,1.979167,D3,28,80,0,0,3.0,2.0,1,P1-2-3,0,-,2,5.0,,,,
6,6,2.095052,2.464844,F4,45,80,0,0,5.0,1.0,0,P1-2-2,0,-,2,6.0,,,0.320963,186.937144
7,7,2.098958,2.477865,F3,33,80,0,0,5.0,1.0,1,P1-2-4,0,-,2,6.0,,,,
8,8,2.490885,3.209635,Bb4,58,80,0,0,6.0,2.0,0,P1-3-1,0,-,3,8.0,,,0.391927,153.089734
9,9,2.526042,3.169271,Bb3,28,80,0,0,6.0,2.0,1,P1-3-3,0,-,3,8.0,,,,
10,10,3.178385,3.453125,D5,46,80,0,0,8.0,1.0,0,P1-3-2,0,-,3,9.0,,,0.326172,183.952307
11,11,3.208333,3.402344,D4,27,80,0,0,8.0,1.0,1,P1-3-4,0,-,3,9.0,,,,
12,12,3.567708,4.109375,F5,41,80,0,0,9.0,2.0,0,P1-4-1,0,-,4,11.0,,,0.359375,166.956522
13,13,3.583333,4.106771,F4,24,80,0,0,9.0,2.0,1,P1-4-4,0,-,4,11.0,,,,
14,14,4.302083,4.453125,Bb5,55,80,0,0,11.0,0.5,0,P1-4-2,0,-,4,11.5,,,0.359375,166.956522
15,15,4.494792,4.591146,D5,51,80,0,0,11.5,0.5,0,P1-4-3,0,-,4,12.0,,,0.385418,155.675137
16,16,4.707031,4.897135,F5,52,80,0,0,12.0,0.5,0,P1-5-1,0,-,5,12.5,,,0.424478,141.350082
17,17,4.71224,6.589844,F3,33,80,0,0,12.0,6.0,1,P1-5-7,0,-,5,18.0,,,,
18,18,4.720052,6.709635,C4,30,80,0,0,12.0,6.0,1,P1-5-8,0,-,5,18.0,,,,
19,19,4.723958,5.789062,Eb4,31,80,0,0,12.0,6.0,1,P1-5-9,0,-,5,18.0,,,,
20,20,4.88151,5.058594,Eb5,61,80,0,0,12.5,0.5,0,P1-5-2,0,-,5,13.0,,,0.315104,190.413324
